rank,feature,type,importance,owner,owner_value,ratio,chatgpt-4o-latest-20250326_mean,claude-3-5-haiku-20241022_mean,deepseek-r1-0528_mean
1,let me know if,WORD,0.01216086558997631,chatgpt-4o-latest-20250326,0.046680816036929355,8.382226446144166,0.046680816036929355,0.0017019207799991425,0.009436124214281853
2,let me know if you,WORD,0.01059506181627512,chatgpt-4o-latest-20250326,0.046307217435511756,8.758337496384007,0.046307217435511756,0.0017118945121460097,0.008862534412588345
3,know if you,WORD,0.00935556273907423,chatgpt-4o-latest-20250326,0.046307217435511756,8.65419606795335,0.046307217435511756,0.0017118945121460097,0.008989783244564897
4,you like me to elaborate,WORD,0.008776291273534298,claude-3-5-haiku-20241022,0.02283497458029029,32.99806936955867,0.0010228088286422929,0.02283497458029029,0.00036120799528053794
5, (,CHAR,0.007003601174801588,deepseek-r1-0528,0.053050238571658,2.4151155713165324,0.02920225231663315,0.014729588284786665,0.053050238571658
6,me to elaborate,WORD,0.006307770032435656,claude-3-5-haiku-20241022,0.02283497458029029,32.99806936955867,0.0010228088286422929,0.02283497458029029,0.00036120799528053794
7,| ,CHAR,0.006278662011027336,chatgpt-4o-latest-20250326,0.02879689188450935,4.874985389505994,0.02879689188450935,0.0029162293673053435,0.008897913531056076
8,) ,CHAR,0.005738590378314257,deepseek-r1-0528,0.024906133149082275,2.041188133080218,0.014002881500595558,0.010400681016995603,0.024906133149082275
9,: ,CHAR,0.005597055424004793,deepseek-r1-0528,0.06348489224330395,2.5407259170394663,0.031008873527196806,0.018964946377433144,0.06348489224330395
10,let me know,WORD,0.005282452795654535,chatgpt-4o-latest-20250326,0.06758336353855308,7.733294541171261,0.06758336353855308,0.004013806769038107,0.013464734994876807
11,like me to elaborate,WORD,0.0052301581017673016,claude-3-5-haiku-20241022,0.02283497458029029,32.99806936955867,0.0010228088286422929,0.02283497458029029,0.00036120799528053794
12,---,CHAR,0.004735853523015976,chatgpt-4o-latest-20250326,0.06066031770903973,3.6539900708494266,0.06066031770903973,0.0036385169725839553,0.029563715589010407
13,s (,CHAR,0.0047216047532856464,deepseek-r1-0528,0.018189158162717274,2.80443138907189,0.009360517217475802,0.0036112070537358955,0.018189158162717274
14,would you like,WORD,0.004702291917055845,chatgpt-4o-latest-20250326,0.059343002587703426,2.430445279260459,0.059343002587703426,0.03827930214937089,0.010553725003015903
15,like me to elaborate on,WORD,0.004365948960185051,claude-3-5-haiku-20241022,0.02283497458029029,32.99806936955867,0.0010228088286422929,0.02283497458029029,0.00036120799528053794
16, | ,CHAR,0.004338507074862719,chatgpt-4o-latest-20250326,0.020358810564027642,4.336984629138192,0.020358810564027642,0.0021172943528679294,0.0072711669712795515
17,nn vbn in,POS,0.00433477433398366,deepseek-r1-0528,0.020289223032757656,1.4588216633502324,0.015937639848121795,0.011878264019580748,0.020289223032757656
18,in dt jj nn nn,POS,0.003916311543434858,deepseek-r1-0528,0.013450587250931907,1.3209442073520996,0.01016453411663271,0.010200574197745066,0.013450587250931907
